Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
USA,05-04-2014,Barack Obama,"
Weekly Address: The President’s Budget Ensures Opportunity for All Hardworking Americans",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/04/05/weekly-address-president-s-budget-ensures-opportunity-all-hardworking-am,NEUTRAL,DEVELOPMENT
USA,29-01-2018 00:00,Donald Trump,Remarks by President Trump at Lunch with Members of the United Nations Security Council,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-lunch-members-united-nations-security-council/,UPSET,INTERNATIONAL AFFAIRS
Russia,02-02-2003 00:00,Vladimir Putin,Speech at the Ceremony Marking the 60th Anniversary of the Battle of Stalingrad,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21855,JOY,NATIONALISM
China,01-11-2015 00:00,Li Keqiang,Keynote Speech by Premier Li Keqiang at the Welcoming Luncheon Hosted by the Business Community of the Republic of Korea,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1330777.shtml,OPTIMISM,DEVELOPMENT
USA,05-03-2016,Barack Obama,"
Weekly Address: The American Spirit of Innovation",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/03/05/weekly-address-american-spirit-innovation,JOY,DEVELOPMENT
United Kingdom,10-Dec-10,David Cameron,Speech on families and relationships,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/speech-on-families-and-relationships,NEUTRAL,OTHERS
USA,27-10-2021 00:00,Joe Biden,Statement by President Joe Biden Three Years After the Tree of Life Synagogue Shooting,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/10/27/statement-by-president-joe-biden-three-years-after-the-tree-of-life-synagogue-shooting/,NEUTRAL,OTHERS
China,29-06-2015 00:00,Li Keqiang,China and Europe: Working Together for New Progress In China-EU Relations,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1277193.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,27-01-2005,Vladimir Putin,Speech at the Awarding Ceremony of Veterans who Took Part in the Liberation of Poland,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22801,JOY,NATIONALISM
China,20-04-2021 00:00,H.E. Wang Yi,Working in the Same Direction to Build Peace Together,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1870099.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,09-08-2021 00:00,Joe Biden,Statement by President Joe Biden on Department of Justice Filing,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/09/statement-by-president-joe-biden-on-department-of-justice-filing/,UPSET,OTHERS
United Kingdom,24-Jun-10,David Cameron,PM's speech on board HMS Ark Royal,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pms-speech-on-board-hms-ark-royal,JOY,NATIONALISM
United Kingdom,26-Jan-12,David Cameron,PM Davos Speech,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pm-davos-speech,OPTIMISM,DEVELOPMENT
China,28-09-2018 00:00,H.E. Wang Yi,"Multilateralism, Shared Peace and Development",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1600861.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
United Kingdom,03-Sep-19,Boris Johnson,PM statement on G7 Summit: 3 September 2019,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-on-g7-summit-3-september-2019,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,09-06-2008 00:00,Dmitry Medvedev,Opening Address at the Meeting of the State Council on the Situation Around South Ossetia and Abkhazia,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1314,JOY,INTERNATIONAL AFFAIRS
USA,24-05-2021 00:00,Joe Biden,Remarks by President Biden During Briefing on the Atlantic Hurricane Outlook and Preparedness Efforts,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/05/24/remarks-by-president-biden-during-briefing-on-the-atlantic-hurricane-outlook-and-preparedness-efforts/,NEUTRAL,OTHERS
Russia,30-09-2008,Dmitry Medvedev,Opening Address at the Meeting of the Anti-Corruption Council,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1566,NEUTRAL,DEVELOPMENT
Russia,28-04-2020,Vladimir Putin,Meeting with regional heads on countering the spread of the coronavirus,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/63288,OPTIMISM,DEVELOPMENT
USA,22-03-2016,Barack Obama,"
Remarks by President Obama to the People of Cuba",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/03/22/remarks-president-obama-people-cuba,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,10-06-2004 00:00,Vladimir Putin,Speech at the Meeting with Participants of the Bishops’ Council of the Russian Orthodox Church,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22624,NEUTRAL,OTHERS
USA,17-07-2021 00:00,Joe Biden,Statement by President Joe Biden on DACA and Legislation for Dreamers,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/17/statement-by-president-joe-biden-on-daca-and-legislation-for-dreamers/,OPTIMISM,OTHERS
USA,26-09-2015,Barack Obama,"
Weekly Address: Dispose of Your Expired and Unwanted Prescription Drugs",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/09/26/weekly-address-dispose-your-expired-and-unwanted-prescription-drugs,OPTIMISM,DEVELOPMENT
Russia,21-04-2006,Vladimir Putin,Opening Remarks at State Council Presidium Meeting on Urgent Measures to Combat the Spread of HIV-AIDS in the Russian Federation,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23547,UPSET,DEVELOPMENT
Russia,26-10-2004,Vladimir Putin,"Speech at the Council for Science, Technology and Education",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22662,OPTIMISM,DEVELOPMENT
USA,26-06-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on International Day in Support of Victims of Torture ",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/26/statement-by-president-joseph-r-biden-jr-on-international-day-in-support-of-victims-of-torture/,NEUTRAL,OTHERS
USA,10-01-2015,Barack Obama,"
Weekly Address: America's Resurgence Is Real",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/01/10/weekly-address-americas-resurgence-real,NEUTRAL,DEVELOPMENT
USA,14-12-2015,Barack Obama,"
Remarks by the President on the Military Campaign to Destroy ISIL",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/12/14/remarks-president-military-campaign-destroy-isil,OPTIMISM,INTERNATIONAL AFFAIRS
USA,22-02-2021 00:00,Joe Biden,"Remarks by President Biden on the More Than 500,000 American Lives Lost to COVID-⁠19",President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/22/remarks-by-president-biden-on-the-more-than-500000-american-lives-lost-to-covid-19/,UPSET,DEVELOPMENT
USA,27-07-2021 00:00,Joe Biden,Statement by President Joe Biden on CDC Guidance,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/27/statement-by-president-joe-biden-on-cdc-guidance/,OPTIMISM,DEVELOPMENT
USA,29-03-2021 00:00,Joe Biden,Letter to the Speaker of the House and the President of the Senate on the Continuation of the National Emergency With Respect to Significant Malicious Cyber-Enabled Activities,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/29/letter-to-the-speaker-of-the-house-and-the-president-of-the-senate-on-the-continuation-of-the-national-emergency-with-respect-to-significant-malicious-cyber-enabled-activities/,NEUTRAL,OTHERS
USA,14-08-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. Celebrating the Republic of India’s Independence Day",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/14/statement-by-president-joseph-r-biden-jr-celebrating-the-republic-of-indias-independence-day/,JOY,INTERNATIONAL AFFAIRS
USA,18-03-2013,Barack Obama,"
Remarks By The President at Women's History Month Reception",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/03/18/remarks-president-womens-history-month-reception,JOY,OTHERS
Russia,05-07-2000 00:00,Vladimir Putin,Speech at the Inauguration Ceremony,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21399,JOY,NATIONALISM
China,21-09-2016 00:00,Li Keqiang,"Work Together for a World of Peace, Stability and Sustainable Development",Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1417055.shtml,OPTIMISM,DEVELOPMENT
USA,09-08-2021 00:00,Joe Biden,Statement by President Joe Biden on COVID-⁠19 Vaccines for Service Members,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/09/statement-by-president-joe-biden-on-covid-19-vaccines-for-service-members/,JOY,DEVELOPMENT
China,27-06-2015 00:00,H.E. Wang Yi,"China's Role in the Global and Regional Order: Participant, Facilitator and Contributor",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1276595.shtml,JOY,INTERNATIONAL AFFAIRS
USA,05-06-2018 00:00,Donald Trump,Remarks by President Trump at Celebration of America Event,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-celebration-america-event/,JOY,DEVELOPMENT
Russia,31-01-2000,Vladimir Putin,Address to a Justice Ministry board meeting,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21574,OPTIMISM,OTHERS
Russia,30-11-2004,Vladimir Putin,Introductory Remarks at the VI National Congress of Judges,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22712,NEUTRAL,OTHERS
Russia,27-02-2000,Vladimir Putin,Speech at the Constituent Congress of the Unity National Public and Political Movement,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24145,JOY,OTHERS
Russia,19-03-2019,Vladimir Putin,Meeting of Russian Prosecutor-General’s Office Board,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/60100,NEUTRAL,DEVELOPMENT
USA,07-10-2013,Barack Obama,"
Remarks by the President at FEMA Headquarters",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/10/07/remarks-president-fema-headquarters,NEUTRAL,OTHERS
USA,05-11-2021 00:00,Joe Biden,Remarks by President Biden on the October Jobs Report,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/05/remarks-by-president-biden-on-the-october-jobs-report/,JOY,DEVELOPMENT
USA,07-12-2017 00:00,Donald Trump,Remarks by the President at a Hanukkah Celebration,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-hanukkah-celebration/,NEUTRAL,OTHERS
USA,03-09-2016,Barack Obama,"
Weekly Address: Building Upon the Legacy of Labor Day",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/03/weekly-address-building-upon-legacy-labor-day,JOY,OTHERS
China,26-04-2019 00:00,H.E. Xi Jinping,Working Together to Deliver a Brighter Future For Belt and Road Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1658424.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,11-02-2000 00:00,Vladimir Putin,"Address at the Unveiling of a Memorial Stone at the Place of a Future Monument to the Soldiers of the 6th Company, 76th Guards Division, who Died as Heroes in Chechnya",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21512,UPSET,EXTREMISM
USA,30-06-2014,Barack Obama,"
Remarks by the President on Border Security and Immigration Reform",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/06/30/remarks-president-border-security-and-immigration-reform,NEUTRAL,OTHERS
United Kingdom,26-Aug-19,Boris Johnson,PM statement at G7: 26 August 2019,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-at-g7-26-august-2019,NEUTRAL,INTERNATIONAL AFFAIRS
United Kingdom,07-Feb-11,David Cameron,PM statement on European Council and North Africa,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/pm-statement-on-european-council-and-north-africa,OPTIMISM,INTERNATIONAL AFFAIRS
China,12-09-2019 00:00,H.E. Wang Yi,"China in the New Era: Innovative Hunan Embracing the World
Address by State Councilor and Foreign Minister Wang Yi At the Event of MFA Presenting Hunan Province",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1699300.shtml,JOY,NATIONALISM
USA,02-09-2021 00:00,Joe Biden,Remarks by President Biden in Virtual Call for the Jewish High Holidays,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/09/02/remarks-by-president-biden-in-virtual-call-for-the-jewish-high-holidays/,NEUTRAL,OTHERS
Russia,21-01-2000,Vladimir Putin,Opening remarks at a meeting of the Russian Interior Ministry’s Board,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21505,UPSET,OTHERS
USA,06-02-2017 00:00,Donald Trump,Remarks by President Trump to Coalition Representatives and Senior U.S. Commanders,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-coalition-representatives-senior-u-s-commanders/,NEUTRAL,OTHERS
Russia,28-10-2010,Dmitry Medvedev,Speech at meeting on traffic problems in Moscow,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/9362,NEUTRAL,DEVELOPMENT
Russia,10-05-2000 00:00,Vladimir Putin,Speech at a Meeting with Indian Businessmen,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21581,JOY,INTERNATIONAL AFFAIRS
China,28-04-2019 00:00,H.E. Xi Jinping,Working Together for a Green and Better Future for All,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1659448.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
Russia,27-12-2005,Vladimir Putin,Closing Address at the State Council Session “On Immediate Measures for the Implementation of Priority National Projects”,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23363,NEUTRAL,OTHERS
USA,24-02-2021 00:00,Joe Biden,Remarks by President Biden During a Meeting with a Bipartisan Group of House and Senate Members on U.S. Supply Chains,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/24/remarks-by-president-biden-during-a-meeting-with-a-bipartisan-group-of-house-and-senate-members-on-u-s-supply-chains/,NEUTRAL,OTHERS
China,07-11-2015 00:00,Xi Jinping,Forging a Strong Partnership to Enhance Prosperity of Asia,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1313923.shtml,JOY,INTERNATIONAL AFFAIRS
China,07-11-2020 00:00,H.E. Wang Yi,Upholding Multilateralism to Tackle Global Challenges,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1830291.shtml,JOY,INTERNATIONAL AFFAIRS
USA,23-09-2014,Barack Obama,"
Remarks by the President at U.N. Climate Change Summit",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/09/23/remarks-president-un-climate-change-summit,UPSET,DEVELOPMENT
USA,25-05-2017 00:00,Donald Trump,"Remarks by President Trump at NATO Unveiling of the Article 5 and Berlin Wall Memorials – Brussels, Belgium",President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-nato-unveiling-article-5-berlin-wall-memorials-brussels-belgium/,UPSET,INTERNATIONAL AFFAIRS
China,21-05-2014 00:00,Xi Jinping,New Asian Security Concept For New Progress in Security Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1159951.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,26-10-2017,Vladimir Putin,Presentation of officers appointed to senior command posts,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/55923,JOY,OTHERS
China,30-11-2015 00:00,Xi Jinping,Let the Flower of China-Zimbabwe Friendship Bloom with New Splendor,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1328506.shtml,JOY,INTERNATIONAL AFFAIRS
USA,29-06-2017 00:00,Donald Trump,Remarks by the President at a Dinner with South Korean President Moon Jae-in,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-dinner-south-korean-president-moon-jae/,JOY,INTERNATIONAL AFFAIRS
United Kingdom,19-Mar-11,David Cameron,Prime Minister's statement on Libya,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/prime-ministers-statement-on-libya,UPSET,INTERNATIONAL AFFAIRS
United Kingdom,30-Sep-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 30 September 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-30-september-2020,OPTIMISM,DEVELOPMENT
China,25-03-2014 00:00,Xi Jinping,Statement by H.E. Xi Jinping President of the People's Republic of China at the Nuclear Security Summit,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1140583.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,04-12-2003 00:00,Vladimir Putin,"Remarks at the International Conference ”Peace, Security and International Law: A Look at the Future“",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21965,NEUTRAL,INTERNATIONAL AFFAIRS
USA,04-09-2013,Barack Obama,"
Remarks by President Obama in Statement to the Press -- Stockholm, Sweden",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/09/04/remarks-president-obama-statement-press-stockholm-sweden,JOY,OTHERS
USA,12-01-2021 00:00,Donald Trump,Remarks by President Trump Before Marine One Departure,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-marine-one-departure-011221/,UPSET,OTHERS
Russia,17-06-2011,Dmitry Medvedev,Dmitry Medvedev spoke at the St Petersburg International Economic Forum,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/11601,JOY,DEVELOPMENT
USA,12-09-2016,Barack Obama,"
Remarks by the President After Meeting with Congressional Leadership",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/09/12/remarks-president-after-meeting-congressional-leadership,JOY,DEVELOPMENT
USA,26-02-2021 00:00,Joe Biden,Statement by President Biden on the Anniversary of Russia’s Illegal Invasion of Ukraine,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/02/26/statement-by-president-biden-on-the-anniversary-of-russias-illegal-invasion-of-ukraine/,UPSET,INTERNATIONAL AFFAIRS
United Kingdom,30-Sep-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 30 September 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-30-september-2020,OPTIMISM,DEVELOPMENT
USA,18-03-2021 00:00,Joe Biden,Statement by President Biden on the American Dream and Promise Act of 2021,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/03/18/statement-by-president-biden-on-the-american-dream-and-promise-act-of-2021/,NEUTRAL,OTHERS
USA,29-03-2013,Barack Obama,"
Weekly Address: President Obama Offers Easter and Passover Greetings",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/03/29/weekly-address-president-obama-offers-easter-and-passover-greetings,JOY,OTHERS
China,21-09-2017 00:00,H.E. Wang Yi,Toward Peace and Development for All,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1496244.shtml,UPSET,INTERNATIONAL AFFAIRS
USA,23-04-2021 00:00,Joe Biden,Statement of President Joe Biden on Senate Passage of the COVID-⁠19 Hate Crimes Act,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/04/23/statement-of-president-joe-biden-on-senate-passage-of-the-covid-19-hate-crimes-act/,UPSET,EXTREMISM
USA,11-05-2015,Barack Obama,"
Remarks by the President at Global Entrepreneurship Event",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/05/11/remarks-president-global-entrepreneurship-event,JOY,DEVELOPMENT
USA,21-05-2013,Barack Obama,"
Remarks by the President on the Tornadoes and Severe Weather in Oklahoma",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/05/21/remarks-president-tornadoes-and-severe-weather-oklahoma,UPSET,DEVELOPMENT
Russia,23-10-2007,Vladimir Putin,Speech at the National Congress of Municipalities of the Russian Federation Regions,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24617,NEUTRAL,OTHERS
Russia,24-06-2020,Vladimir Putin,Parade marking 75th anniversary of Great Victory,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/63560,JOY,NATIONALISM
USA,24-08-2021 00:00,Joe Biden,Remarks by President Biden on the Ongoing Evacuation Efforts in Afghanistan and the House Vote on the Build Back Better Agenda,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/08/24/remarks-by-president-biden-on-the-ongoing-evacuation-efforts-in-afghanistan-and-the-house-vote-on-the-build-back-better-agenda/,OPTIMISM,INTERNATIONAL AFFAIRS
USA,02-12-2013,Barack Obama,"
Remarks by the President on World AIDS Day",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/12/02/remarks-president-world-aids-day,JOY,INTERNATIONAL AFFAIRS
Russia,15-02-2007,Vladimir Putin,Beginning of the Meeting on Economic Issues,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24044,OPTIMISM,DEVELOPMENT
Russia,22-07-2014,Vladimir Putin,Security Council meeting,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/46305,UPSET,INTERNATIONAL AFFAIRS
China,30-03-2021 00:00,H.E. Wang Yi,"Remarks by State Councilor and Foreign Minister Wang Yi
At the Ninth Ministerial Conference of
The Heart of Asia-Istanbul Process",State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1865443.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,19-05-2008,Dmitry Medvedev,Opening Remarks at a Meeting on Fighting Corruption,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/135,UPSET,OTHERS
USA,07-07-2021 00:00,Joe Biden,Letter to the Speaker of the House of Representatives and the President of the Senate on the Continuation of the National Emergency with Respect to Transnational Criminal Organizations,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/07/letter-to-the-speaker-of-the-house-of-representatives-and-the-president-of-the-senate-on-the-continuation-of-the-national-emergency-with-respect-to-transnational-criminal-organizations/,OPTIMISM,OTHERS
Russia,20-07-2005,Vladimir Putin,Introductory Remarks at a Meeting of the Council for Facilitating the Development of Civil Society Institutions and Human Rights,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23097,OPTIMISM,OTHERS
China,29-07-2016 00:00,H.E. Xi Jinping,President Xi Jinping's Congratulatory Message and State Councilor Yang Jiechi's Keynote Speech to The Opening Ceremony of the Coordinators' Meeting on the Implementation of The Follow-up Actions of the Johannesburg Summit of The Forum on China-Africa Cooperation,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1386434.shtml,NEUTRAL,INTERNATIONAL AFFAIRS
USA,02-03-2013,Barack Obama,"
Weekly Address: Congress Must Compromise to Stop the Impact of the Sequester",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/03/02/weekly-address-congress-must-compromise-stop-impact-sequester,OPTIMISM,DEVELOPMENT
Russia,05-07-2018 00:00,Vladimir Putin,Vladimir Putin has been sworn in as President of Russia,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/57416,JOY,NATIONALISM
USA,17-05-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on International Day Against Homophobia, Transphobia and Biphobia",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/05/17/statement-by-president-joseph-r-biden-jr-on-international-day-against-homophobia-transphobia-and-biphobia/,JOY,OTHERS
Russia,19-08-2003,Vladimir Putin,Speech at the Ceremony during Celebrations Marking the 60th Anniversary of the Battle of Kursk,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22088,JOY,NATIONALISM
Russia,22-01-2003,Vladimir Putin,Opening Remarks at a State Council Meeting on Russia's International Affairs,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24689,JOY,INTERNATIONAL AFFAIRS
United Kingdom,18-Oct-10,David Cameron,Prime Minister's speech at PC Toms memorial,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/prime-ministers-speech-at-pc-toms-memorial,OPTIMISM,DEVELOPMENT
USA,30-05-2020 00:00,Donald Trump,Remarks by President Trump Before Air Force One Departure,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-air-force-one-departure-16/,OPTIMISM,DEVELOPMENT
Russia,23-11-2010,Dmitry Medvedev,Our democracy is imperfect and we are absolutely aware of this. But we are going forward,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/9599,NEUTRAL,OTHERS
USA,21-05-2021 00:00,Joe Biden,"Remarks by President Biden at Presentation of the Medal of Honor to Army Colonel Ralph Puckett, Jr.",President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/05/21/remarks-by-president-biden-at-presentation-of-the-medal-of-honor-to-army-colonel-ralph-puckett-jr/,JOY,OTHERS
United Kingdom,02-Jan-12,David Cameron,2012 New Year message from David Cameron,Prime Minister,David Cameron,https://www.gov.uk/government/speeches/2012-new-year-message-from-david-cameron,OPTIMISM,DEVELOPMENT
Russia,12-03-2019 00:00,Vladimir Putin,Meeting with senior Defence Ministry officials and defence industry executives,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/62228,NEUTRAL,INTERNATIONAL AFFAIRS
Russia,10-10-2019 00:00,Vladimir Putin,Meeting of the Council for the Development of Physical Culture and Sport,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/61771,OPTIMISM,DEVELOPMENT
USA,01-06-2018 00:00,Donald Trump,Remarks by President Trump at the U.S. Coast Guard Change-of-Command Ceremony,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-u-s-coast-guard-change-command-ceremony/,JOY,NATIONALISM
Russia,27-03-2003,Vladimir Putin,"Opening Remarks at a Meeting with Akhmat Kadyrov, Head of the Chechen Administration",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21948,JOY,OTHERS
USA,19-12-2015,Barack Obama,"
Remarks by the President After Meeting the Families of the Victims of the San Bernardino Shooting",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/12/19/remarks-president-after-meeting-families-victims-san-bernardino-shooting,NEUTRAL,OTHERS
USA,05-02-2021 00:00,Joe Biden,Remarks by President Biden on the State of the Economy and the Need for the American Rescue Plan,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/05/remarks-by-president-biden-on-the-state-of-the-economy-and-the-need-for-the-american-rescue-plan/,UPSET,DEVELOPMENT
